Time,Settlement Period,Day of Week,Predicted_load
2016-01-01 00:00:00,1.0,4,34938.2552830043
2016-01-01 00:30:00,2.0,4,34938.2552830043
2016-01-01 01:00:00,3.0,4,34938.2552830043
2016-01-01 01:30:00,4.0,4,34938.2552830043
2016-01-01 02:00:00,5.0,4,34938.2552830043
2016-01-01 02:30:00,6.0,4,34938.2552830043
2016-01-01 03:00:00,7.0,4,34938.2552830043
2016-01-01 03:30:00,8.0,4,34938.2552830043
2016-01-01 04:00:00,9.0,4,34938.2552830043
2016-01-01 04:30:00,10.0,4,34938.2552830043
2016-01-01 05:00:00,11.0,4,34938.2552830043
2016-01-01 05:30:00,12.0,4,34938.2552830043
2016-01-01 06:00:00,13.0,4,34938.2552830043
2016-01-01 06:30:00,14.0,4,34938.2552830043
2016-01-01 07:00:00,15.0,4,34938.2552830043
2016-01-01 07:30:00,16.0,4,34938.2552830043
2016-01-01 08:00:00,17.0,4,34938.2552830043
2016-01-01 08:30:00,18.0,4,34938.2552830043
2016-01-01 09:00:00,19.0,4,34938.2552830043
2016-01-01 09:30:00,20.0,4,34938.2552830043
2016-01-01 10:00:00,21.0,4,34938.2552830043
2016-01-01 10:30:00,22.0,4,34938.2552830043
2016-01-01 11:00:00,23.0,4,34938.2552830043
2016-01-01 11:30:00,24.0,4,34938.2552830043
2016-01-01 12:00:00,25.0,4,34938.2552830043
2016-01-01 12:30:00,26.0,4,34938.2552830043
2016-01-01 13:00:00,27.0,4,34938.2552830043
2016-01-01 13:30:00,28.0,4,34938.2552830043
2016-01-01 14:00:00,29.0,4,34938.2552830043
2016-01-01 14:30:00,30.0,4,34938.2552830043
2016-01-01 15:00:00,31.0,4,34938.2552830043
2016-01-01 15:30:00,32.0,4,34938.2552830043
2016-01-01 16:00:00,33.0,4,34938.2552830043
2016-01-01 16:30:00,34.0,4,34938.2552830043
2016-01-01 17:00:00,35.0,4,34938.2552830043
2016-01-01 17:30:00,36.0,4,34938.2552830043
2016-01-01 18:00:00,37.0,4,34938.2552830043
2016-01-01 18:30:00,38.0,4,34938.2552830043
2016-01-01 19:00:00,39.0,4,34938.2552830043
2016-01-01 19:30:00,40.0,4,34938.2552830043
2016-01-01 20:00:00,41.0,4,34938.2552830043
2016-01-01 20:30:00,42.0,4,34938.2552830043
2016-01-01 21:00:00,43.0,4,34938.2552830043
2016-01-01 21:30:00,44.0,4,34938.2552830043
2016-01-01 22:00:00,45.0,4,34938.2552830043
2016-01-01 22:30:00,46.0,4,34938.2552830043
2016-01-01 23:00:00,47.0,4,34938.2552830043
2016-01-01 23:30:00,48.0,4,34938.2552830043
2016-01-02 00:00:00,1.0,5,34938.2552830043
2016-01-02 00:30:00,2.0,5,34938.2552830043
2016-01-02 01:00:00,3.0,5,34938.2552830043
2016-01-02 01:30:00,4.0,5,34938.2552830043
2016-01-02 02:00:00,5.0,5,34938.2552830043
2016-01-02 02:30:00,6.0,5,34938.2552830043
2016-01-02 03:00:00,7.0,5,34938.2552830043
